,COUNTRIES,TOTAL CASES,NEW CASES,NEW DEATHS,TOTAL DEATHS,TOTAL RECOVERED
409,Brunei,11901,,,80,9368
410,CAR,11518,,,100,6859
411,New Caledonia,10482,+28,+5,257,55
412,Gambia,9956,,,339,9601
413,Yemen,9662,,,1838,6178
414,Isle of Man,9107,,,57,8325
415,Eritrea,6789,,,45,6707
416,Sierra Leone,6396,,,121,4393
417,Niger,6248,,,207,5916
418,Guinea-Bissau,6131,,,141,5430
419,Gibraltar,5874,+16,,98,5591
420,Grenada,5815,+6,,196,5488
421,Liberia,5811,,,287,5458
422,New Zealand,5638,+84,,28,4457
423,Bermuda,5612,,,96,5345
424,San Marino,5475,,,91,5367
425,Chad,5067,,,174,4874
426,St. Vincent Grenadines,4814,,,60,3008
427,Dominica,4508,,,30,4075
428,Sint Maarten,4478,,,75,4360
429,Comoros,4205,+1,,147,4037
430,Antigua and Barbuda,4019,,,99,3466
431,Saint Martin,3850,,,55,1399
432,Sao Tome and Principe,3697,,,56,3183
433,Liechtenstein,3529,+5,,60,3415
434,Monaco,3389,,,34,3318
435,Turks and Caicos,2956,,,23,2876
436,British Virgin Islands,2725,,,37,2649
437,Saint Kitts and Nevis,2625,+2,,21,2275
438,Bhutan,2617,,,3,2605
439,Caribbean Netherlands,2383,,,19,2275
440,St. Barth,1589,,,6,462
441,Faeroe Islands,1537,,,2,1319
442,Cayman Islands,1196,,,2,923
443,Anguilla,793,,,1,701
444,Greenland,731,,,,641
445,Diamond Princess,712,,,13,699
446,Wallis and Futuna,445,,,7,438
447,Macao,77,,,,66
448,Falkland Islands,68,,,,67
449,Montserrat,41,,,1,34
450,Saint Pierre Miquelon,32,,,,32
451,Vatican City,27,,,,27
452,Solomon Islands,20,,,,20
453,Western Sahara,10,,,1,8
454,MS Zaandam,9,,,2,7
455,Palau,8,,,,8
456,Vanuatu,4,,,1,3
457,Marshall Islands,4,,,,4
458,Samoa,3,,,,3
459,Saint Helena,2,,,,2
460,Micronesia,1,,,,1
461,China,96758,+43,,4636,91558
